"_id",art_title,error,tool_name,tool_price,tool_star,url,part number,item weight,product dimensions,item model number,item package quantity,number of pieces,measurement system,included components,batteries included?,batteries required?,package dimensions,warranty description,size,number of handles,california residents,color,brand,manufacturer part number,oem part number,usage,style,material,certification,power source,batteries,voltage,torque,plug format,battery cell type,model,folding,head style,wattage,special features,pattern,national stock number,discontinued by manufacturer,assembled diameter,finish,handle material,cover included,shape,installation method,thickness,cutting diameter,blade length,type of bulb,vehicle service type,handle/lever placement,grit description,exterior,capacity description,tool tip description,accessory connection type,horsepower
5b6a886c9fc5af34f8f3dfb7,"Household Hand Tools, Pink Tool Set - 9 Piece by Stalwart, Set Includes – Hammer, Screwdriver Set, Pliers (Tool Kit for the Home, Office, or Car)",0,Stalwart,$8.93,3.7 out of 5 stars,https://www.amazon.com/Household-Hand-Tools-Pink-Tool/dp/B0160PMN44/ref=sr_1_11/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-11&keywords=hammer,75-HT2007,1.05 pounds,4.5 x 8.2 x 1.8 inches,75-HT2007,1,,,,No,No,,,,,Click here for Proposition 65 warning,Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886c9fc5af34f8f3dfb8,Stalwart 75-HT3001 16 oz Tubular Steel Claw Hammer,1,Stalwart,$6.88,4.1 out of 5 stars,https://www.amazon.com/Stalwart-75-HT3001-Tubular-Steel-Hammer/dp/B01C8PTOX8/ref=sr_1_12/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-12&keywords=hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886c9fc5af34f8f3dfb9,Maxcraft 60626 8-oz. Stubby Claw Hammer,0,MAXCRAFT,$12.95,4.7 out of 5 stars,https://www.amazon.com/Maxcraft-60626-8-oz-Stubby-Hammer/dp/B0042D6HLW/ref=sr_1_13/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-13&keywords=hammer,60626,12.8 ounces,6.5 x 4 x 1 inches,60626,1,1,,,No,No,,Always Guaranteed: support@tekton.com,1 Pack,,,Black/Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886d9fc5af34f8f3dfba,H.B. Smith GH99 8 oz Hammer - Tubular Steel Handle,0,HB Smith,$6.32,4.2 out of 5 stars,https://www.amazon.com/H-B-Smith-GH99-Hammer-Tubular/dp/B000I1VDQ6/ref=sr_1_14/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-14&keywords=hammer,GH99,8.8 ounces,1 x 4 x 9.8 inches,GH99,1,,Metric,Hammer,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886d9fc5af34f8f3dfbb,Overpeak 8-Ounce Claw Hammer with Fibreglass Handle Non-slip Rip Claw Framing Hammers for Household Maintenance,0,Overpeak,$7.99,5.0 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_tools_sr_pg1_1?ie=UTF8&adId=A03640022TT5F1L0TF2YG&url=https%3A%2F%2Fwww.amazon.com%2FOverpeak-Fibreglass-Non-slip-Household-Maintenance%2Fdp%2FB01N5DH993%2Fref%3Dsr_1_15_sspa%2F147-6603142-7052802%3Fs%3Dpower-hand-tools%26ie%3DUTF8%26qid%3D1529051023%26sr%3D1-15-spons%26keywords%3Dhammer%26psc%3D1&qualifier=1529051023&id=2140523781816837&widgetName=sp_mtf,BR215020,13.6 ounces,,,1,,,,No,No,11.1 x 4.8 x 1.4 inches,,8-ounce-2,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886d9fc5af34f8f3dfbc,MASTERTEC PINK 12oz CLAW HAMMER,0,MasterTEC,$11.99,4.0 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_tools_sr_pg1_2?ie=UTF8&adId=A026755022S399B0VTRU1&url=https%3A%2F%2Fwww.amazon.com%2FMASTERTEC-PINK-12oz-CLAW-HAMMER%2Fdp%2FB072FKG6VQ%2Fref%3Dsr_1_16_sspa%2F147-6603142-7052802%3Fs%3Dpower-hand-tools%26ie%3DUTF8%26qid%3D1529051023%26sr%3D1-16-spons%26keywords%3Dhammer%26psc%3D1&qualifier=1529051023&id=2140523781816837&widgetName=sp_mtf,PNK92112,1.05 pounds,12 x 5.5 x 1 inches,PNK92112,1,,,,No,No,,,,,Click here for Proposition 65 warning,PINK / BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886d9fc5af34f8f3dfbd,"Overpeak 8-Ounce Curve Claw Hammer with Steel Handle for Dad, Christmas, Birthday, Father's Day",0,Overpeak,$9.99,4.7 out of 5 stars,https://www.amazon.com/Overpeak-8-Ounce-Genuine-Hickory-Hardwood/dp/B01MTYQG7V/ref=sr_1_17/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-17&keywords=hammer,BR215023,14.4 ounces,,,1,,,,No,No,11.1 x 4.7 x 1.4 inches,,8-ounce-4,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886d9fc5af34f8f3dfbe,Stiletto TB15MC TiBone 15-Ounce Titanium Milled-Face Hammer,0,Stilletto,$189.00,4.4 out of 5 stars,https://www.amazon.com/Stiletto-TB15MC-15-Ounce-Titanium-Milled-Face/dp/B00079R1YM/ref=sr_1_18/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-18&keywords=hammer,TB15MC,1 pounds,6.2 x 1.5 x 18 inches,TB15MC,1,,,,No,No,,,S,,Click here for Proposition 65 warning,Silver metallic,,,,,,Titanium,certified frustration-free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886e9fc5af34f8f3dfbf,"Fiberglass Claw Hammer With Comfort Grip Handle And Curved Rip Claw, PINK",0,Stalwart,$9.03,3.8 out of 5 stars,https://www.amazon.com/Fiberglass-Hammer-Comfort-Handle-Curved/dp/B071WKNGQZ/ref=sr_1_19/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-19&keywords=hammer,75-HT4075,1.2 pounds,12 x 4.8 x 1 inches,75-HT4075,1,,Metric,"Fiberglass Claw Hammer With Comfort Grip Handle And Curved Rip Claw, 12 Oz By Stalwart (Durable Tool for Home Repair, DIY, Building, Woodwork) (Pink)",,No,,,,,,PINK,,,,,12 Oz. Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886e9fc5af34f8f3dfc0,"16 oz Fiber Glass Claw Hammer Heavy Duty Construction Shock Resistant Rubberized Non Slip Handle for Contractors, General Laborers, Repair Men, Automotive Mechanics, Household Maintenance by BASTEX",1,Bastex,,4.5 out of 5 stars,https://www.amazon.com/Construction-Rubberized-Contractors-Automotive-Maintenance/dp/B01MS1KOEA/ref=sr_1_20/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-20&keywords=hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886e9fc5af34f8f3dfc1,DEWALT DWHT51054 20 Oz. Rip Claw Hammer,1,DEWALT,$28.18,4.6 out of 5 stars,https://www.amazon.com/DEWALT-DWHT51054-Oz-Claw-Hammer/dp/B00P4TF3M2/ref=sr_1_21/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-21&keywords=hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886e9fc5af34f8f3dfc2,"Stanley STHT51304 20Oz Rip Claw Fiberglass Hammer,",0,Stanley,$12.99,4.6 out of 5 stars,https://www.amazon.com/Stanley-STHT51304-20Oz-Fiberglass-Hammer/dp/B01MDP4946/ref=sr_1_22/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-22&keywords=hammer,STHT51304,1.7 pounds,1.4 x 6 x 12.8 inches,STHT51304,1,,Metric,1) 20oz Fiberglass Rip Claw Hammer,,No,,Lifetime,Pack of 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886e9fc5af34f8f3dfc3,Best Choice 8-oz. Stubby Claw Hammer with Magnetic Nail Starter,0,EFFICERE,$9.99,4.8 out of 5 stars,https://www.amazon.com/Choice-Stubby-Hammer-Magnetic-Starter/dp/B074D4TDVM/ref=sr_1_23/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-23&keywords=hammer,HM-002,14.4 ounces,,,,,,,No,No,7 x 4.8 x 1.7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886f9fc5af34f8f3dfc4,Stanley 51-169 28-Ounce FatMax Xtreme AntiVibe Rip Claw Framing Hammer,0,Stanley,$18.02,4.4 out of 5 stars,https://www.amazon.com/Stanley-51-169-28-Ounce-AntiVibe-Framing/dp/B000I1IUUI/ref=sr_1_24/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-24&keywords=hammer,51-169,1.9 pounds,2.5 x 8.5 x 17.1 inches,51-169,1,,,N/A,,No,,"Stanley warrants this product to the original purchaser for its useful life against deficiencies in material and workmanship. This LIMITED LIFETIME WARRANTY does not cover products that are improperly used, abused, altered or repaired. Deficient products will be replaced or repaired.",28-Ounce Rip Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886f9fc5af34f8f3dfc5,Titan Tools 63125 5-Piece Hammer Set,0,Titan Tools,$45.59,4.6 out of 5 stars,https://www.amazon.com/Titan-Tools-63125-5-Piece-Hammer/dp/B00F67PDM2/ref=sr_1_25/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-25&keywords=hammer,,13.85 pounds,6.1 x 18.8 x 5.4 inches,63125,,,,,,,,,,,,,Titan Tools,63125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886f9fc5af34f8f3dfc6,"TEKTON 30812 Double-Faced Soft Mallet, 35 mm",1,TEKTON,$7.51,4.5 out of 5 stars,https://www.amazon.com/TEKTON-30812-Double-Faced-Soft-Mallet/dp/B00MWVAUUA/ref=sr_1_26/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-26&keywords=hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886f9fc5af34f8f3dfc7,"IIT 88400 Ladies 8-Ounce Claw Hammer, Pink",0,iit,$7.95,4.4 out of 5 stars,https://www.amazon.com/88400-Ladies-8-Ounce-Claw-Hammer/dp/B004FN5R2E/ref=sr_1_27/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-27&keywords=hammer,88400,11.2 ounces,1 x 1 x 1 inches,88400,1,,,,No,No,,,1 Pack,,,Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5b6a88709fc5af34f8f3dfc8,Martinez Tools M1 Titanium Handle 15oz Milled Steel Head Curved Grip Framing Hammer,0,Martinez Tool Co.,$224.95,4.8 out of 5 stars,https://www.amazon.com/Martinez-Titanium-Handle-Milled-Framing/dp/B0754MMXYL/ref=sr_1_28/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-28&keywords=hammer,4012,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88709fc5af34f8f3dfc9,,1,,,,https://www.amazon.com/gp/help/customer/display.html/ref=sr_hms_help/147-6603142-7052802?nodeId=468556&ie=UTF8&qid=1529051023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88709fc5af34f8f3dfca,Overpeak 20oz Claw Hammer Solid Heavy Duty Curved Rip Claw Steel Hammers Fiberglass Rubberised Grip Tools,0,Overpeak,$13.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_tools_sr_pg3_1?ie=UTF8&adId=A04523573DJ9GZCXSBZWT&url=https%3A%2F%2Fwww.amazon.com%2FOverpeak-Hammer-Hammers-Fiberglass-Rubberised%2Fdp%2FB01NCK6U4G%2Fref%3Dsr_1_49_sspa%2F147-6603142-7052802%3Fs%3Dpower-hand-tools%26ie%3DUTF8%26qid%3D1529051815%26sr%3D1-49-spons%26keywords%3Dhammer%26psc%3D1&qualifier=1529051814&id=3444972110942883&widgetName=sp_atf_next,43237-2,2.2 pounds,,,1,,,,No,No,13.9 x 5.9 x 1.8 inches,,20-ounce-3,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88709fc5af34f8f3dfcb,Emergency Multi-functional Flashlight Car Emergency Hammer Compass Magnet Safety Flashlight for Travel Camping Hiking,1,Eacilei,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_tools_sr_pg3_2?ie=UTF8&adId=A093169237EA92MG1BABU&url=https%3A%2F%2Fwww.amazon.com%2FEmergency-Multi-functional-Flashlight-Compass-Camping%2Fdp%2FB07CJ71B7Q%2Fref%3Dsr_1_50_sspa%2F147-6603142-7052802%3Fs%3Dpower-hand-tools%26ie%3DUTF8%26qid%3D1529051815%26sr%3D1-50-spons%26keywords%3Dhammer%26psc%3D1&qualifier=1529051814&id=3444972110942883&widgetName=sp_atf_next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88709fc5af34f8f3dfcc,"TEKTON 30603 Fiberglass Handle Rubber Mallet, 16-Ounce",0,TEKTON,$8.00,4.4 out of 5 stars,https://www.amazon.com/TEKTON-30603-Fiberglass-Handle-16-Ounce/dp/B00KX4KB5M/ref=sr_1_51/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-51&keywords=hammer,30603,1.55 pounds,2.5 x 13.8 x 3.8 inches,30603,1,1,,,No,No,,Always Guaranteed: support@tekton.com,16 oz.,1,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88709fc5af34f8f3dfcd,"Best Choice 22-Ounce All Steel Rock Pick Hammer with Pointed Tip, 11-Inch Overall Length",0,EFFICERE,$12.99,4.5 out of 5 stars,https://www.amazon.com/Choice-22-Ounce-Pointed-11-Inch-Overall/dp/B074GYGQXY/ref=sr_1_52/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-52&keywords=hammer,HM-001,2.2 pounds,,,,,,,No,No,12 x 7.5 x 1.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88719fc5af34f8f3dfce,Plumb 11436 16 -Ounce Premium Hickory Autograf Curved Claw Hammer,0,Apex Tool Group,$18.00,3.8 out of 5 stars,https://www.amazon.com/11436-Ounce-Premium-Hickory-Autograf/dp/B00002N5KB/ref=sr_1_53/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-53&keywords=hammer,11436,1.25 pounds,13 x 5 x 1 inches,11436,1,,,,,,,Limited Lifetime Warranty,,,Click here for Proposition 65 warning,Multi-Colored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88719fc5af34f8f3dfcf,"The Original Pink Box PB12HM 12-Ounce Claw Hammer, Pink",0,The Original Pink Box,$11.38,4.6 out of 5 stars,https://www.amazon.com/Original-Pink-Box-PB12HM-12-Ounce/dp/B002DMLJMQ/ref=sr_1_54/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-54&keywords=hammer,PB12HM,1.3 pounds,15.1 x 5.5 x 1.6 inches,PB12HM,1,,,,No,No,,limited lifetime warranty,12 Ounce,,Click here for Proposition 65 warning,Pink,,,,,12oz Claw Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88719fc5af34f8f3dfd0,Naturehike Camping Outdoor Hammer Aluminum Multi-function Hammer Tent Hammer(Blue),0,Naturehike,$18.57,4.3 out of 5 stars,https://www.amazon.com/Naturehike-Camping-Outdoor-Aluminum-Multi-function/dp/B00N4RLG54/ref=sr_1_55/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-55&keywords=hammer,9A7T0MHV,12.6 ounces,12.2 x 4.3 x 1.6 inches,NH15A010-I,1,,,,No,No,,,Small,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,Aluminium alloy,,,,,,,,,,,,,,,
5b6a88719fc5af34f8f3dfd1,Powerbuilt 648332 2.5-Pound Club Hammer with Fiberglass Handle,0,Powerbuilt,$12.59,4.6 out of 5 stars,https://www.amazon.com/Powerbuilt-648332-2-5-Pound-Hammer-Fiberglass/dp/B000FPAMFS/ref=sr_1_56/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-56&keywords=hammer,648332,3 pounds,,648332,1,,,,No,No,11.7 x 2 x 1.9 inches,,2.5 oz.,,Click here for Proposition 65 warning,,,,,,Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88719fc5af34f8f3dfd2,"Fiskars IsoCore 3 Pound Club Hammer, 11 Inch",0,Fiskars,$25.61,4.8 out of 5 stars,https://www.amazon.com/Fiskars-IsoCore-Pound-Club-Hammer/dp/B01CDAC2K0/ref=sr_1_57/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-57&keywords=hammer,750910-1001,3.6 pounds,2 x 4.8 x 11.2 inches,750910-1001,1,,Metric,club hammer,No,No,,Full lifetime warranty,3 Pound,,,Orange/Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88719fc5af34f8f3dfd3,Estwing Sure Strike California Framing Hammer - 25 oz Straight Rip Claw with Milled Face & Hickory Wood Handle - MRW25LM,0,Estwing,$21.84,4.4 out of 5 stars,https://www.amazon.com/Estwing-Strike-California-Framing-Hammer/dp/B000GYGKUY/ref=sr_1_58/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-58&keywords=hammer,MRW25LM,1.56 pounds,17.8 x 6.1 x 1.5 inches,MRW25LM,1,,Metric,framing hammer,No,No,,Manufacturer,708g (25oz),,,Multicolor,,,,,,Wood,Not Applicable,,,,,,,,,,,,solid,,,,,,,,,,,,,,,,,,,,
5b6a88729fc5af34f8f3dfd4,"Stiletto Tools, Inc. TI14MC Titan 14-OunceTitanium Framing Hammer With Curved Handle",0,Stilletto,$82.99,4.3 out of 5 stars,https://www.amazon.com/Stiletto-TI14MC-14-OunceTitanium-Framing-Hammer/dp/B00002265Y/ref=sr_1_59/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-59&keywords=hammer,TI14MC,1.51 pounds,18 x 6 x 2 inches,TI14MC,1,,,,No,No,,,,,Click here for Proposition 65 warning,Silver,,,,,,Titanium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88729fc5af34f8f3dfd5,"Fiskars 750620-1001 IsoCore 10 lb Sledge Hammer, 36 Inch",0,Fiskars,$53.99,4.7 out of 5 stars,https://www.amazon.com/Fiskars-IsoCore-Sledge-Hammer-Inch/dp/B014M9LBXO/ref=sr_1_60/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-60&keywords=hammer,750620-1001,13.4 pounds,3.2 x 7.2 x 36 inches,750620-1001,1,,Metric,sledge Hammer,,No,,Full lifetime warranty,36 Inch,,,Orange/Black,,,,,Sledge Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a88729fc5af34f8f3dfd6,Dalluge 7180 16 Ounce Titanium Hammer,0,Dalluge,$94.99,3.8 out of 5 stars,https://www.amazon.com/Dalluge-7180-Ounce-Titanium-Hammer/dp/B0014DO594/ref=sr_1_61/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051815&sr=1-61&keywords=hammer,DDT16,1.45 pounds,17.3 x 1.5 x 5.6 inches,DDT16,1,1,,,No,No,,Return for inspection,Milled Face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
